start;duration;pitch;velocity;instrument;string;fret;hammer;slides
0.0;0.11538461538461539;47;95;guitar;5;2;False;[]
0.11538461538461542;0.11538461538461539;54;95;guitar;4;4;False;[]
0.23076923076923073;0.11538461538461539;53;95;guitar;4;3;True;[]
0.34615384615384615;0.11538461538461539;54;95;guitar;4;4;False;[]
0.46153846153846156;0.11538461538461539;55;95;guitar;3;0;False;[]
0.576923076923077;0.11538461538461539;54;95;guitar;4;4;False;[]
0.6923076923076924;0.11538461538461539;59;95;guitar;3;4;False;[]
0.8076923076923078;0.11538461538461539;54;95;guitar;4;4;False;[]
0.923076923076923;0.11538461538461539;62;95;guitar;2;3;False;[]
1.0384615384615383;0.11538461538461539;54;95;guitar;4;4;False;[]
1.1538461538461537;0.11538461538461539;59;95;guitar;3;4;False;[]
1.2692307692307692;0.11538461538461539;54;95;guitar;4;4;False;[]
1.3846153846153846;0.11538461538461539;47;95;guitar;5;2;False;[]
1.5;0.11538461538461539;54;95;guitar;4;4;False;[]
1.6153846153846154;0.11538461538461539;53;95;guitar;4;3;True;[]
1.7307692307692308;0.11538461538461539;54;95;guitar;4;4;False;[]
1.8461538461538463;0.11538461538461539;55;95;guitar;3;0;False;[]
1.9615384615384617;0.11538461538461539;54;95;guitar;4;4;False;[]
2.076923076923077;0.11538461538461539;59;95;guitar;3;4;False;[]
2.1923076923076925;0.11538461538461539;54;95;guitar;4;4;False;[]
2.3076923076923075;0.11538461538461539;62;95;guitar;2;3;False;[]
2.423076923076923;0.11538461538461539;54;95;guitar;4;4;False;[]
2.5384615384615383;0.11538461538461539;59;95;guitar;3;4;False;[]
2.6538461538461537;0.11538461538461539;54;95;guitar;4;4;False;[]
2.769230769230769;0.11538461538461539;47;95;guitar;5;2;False;[]
2.8846153846153846;0.11538461538461539;55;95;guitar;4;5;False;[]
3.0;0.11538461538461539;54;95;guitar;4;4;True;[]
3.1153846153846154;0.11538461538461539;55;95;guitar;4;5;False;[]
3.230769230769231;0.11538461538461539;57;95;guitar;3;2;False;[]
3.3461538461538463;0.11538461538461539;55;95;guitar;4;5;False;[]
3.4615384615384617;0.11538461538461539;59;95;guitar;3;4;False;[]
3.5769230769230766;0.11538461538461539;55;95;guitar;4;5;False;[]
3.6923076923076925;0.11538461538461539;62;95;guitar;2;3;False;[]
3.8076923076923075;0.11538461538461539;55;95;guitar;4;5;False;[]
3.9230769230769234;0.11538461538461539;59;95;guitar;3;4;False;[]
4.038461538461538;0.11538461538461539;55;95;guitar;4;5;False;[]
4.153846153846154;0.11538461538461539;47;95;guitar;5;2;False;[]
4.269230769230769;0.11538461538461539;55;95;guitar;4;5;False;[]
4.384615384615385;0.11538461538461539;54;95;guitar;4;4;True;[]
4.5;0.11538461538461539;55;95;guitar;4;5;False;[]
4.615384615384616;0.11538461538461539;57;95;guitar;3;2;False;[]
4.730769230769231;0.11538461538461539;55;95;guitar;4;5;False;[]
4.846153846153847;0.11538461538461539;59;95;guitar;3;4;False;[]
4.961538461538462;0.11538461538461539;55;95;guitar;4;5;False;[]
5.076923076923077;0.11538461538461539;62;95;guitar;2;3;False;[]
5.1923076923076925;0.11538461538461539;55;95;guitar;4;5;False;[]
5.3076923076923075;0.11538461538461539;59;95;guitar;3;4;False;[]
5.423076923076923;0.11538461538461539;55;95;guitar;4;5;False;[]
5.538461538461538;0.11538461538461539;49;95;guitar;5;4;False;[]
5.653846153846154;0.11538461538461539;57;95;guitar;4;7;False;[]
5.769230769230769;0.11538461538461539;56;95;guitar;4;6;True;[]
5.884615384615385;0.11538461538461539;57;95;guitar;4;7;False;[]
6.0;0.11538461538461539;59;95;guitar;3;4;False;[]
6.115384615384616;0.11538461538461539;57;95;guitar;4;7;False;[]
6.230769230769231;0.11538461538461539;61;95;guitar;3;6;False;[]
6.346153846153847;0.11538461538461539;57;95;guitar;4;7;False;[]
6.461538461538462;0.11538461538461539;64;95;guitar;2;5;False;[]
6.5769230769230775;0.11538461538461539;57;95;guitar;4;7;False;[]
6.6923076923076925;0.11538461538461539;61;95;guitar;3;6;False;[]
6.807692307692308;0.11538461538461539;57;95;guitar;4;7;False;[]
6.923076923076923;0.11538461538461539;49;95;guitar;5;4;False;[]
7.038461538461538;0.11538461538461539;57;95;guitar;4;7;False;[]
7.153846153846154;0.11538461538461539;56;95;guitar;4;6;True;[]
7.269230769230769;0.11538461538461539;57;95;guitar;4;7;False;[]
7.384615384615385;0.11538461538461539;59;95;guitar;3;4;False;[]
7.5;0.11538461538461539;57;95;guitar;4;7;False;[]
7.615384615384615;0.11538461538461539;61;95;guitar;3;6;False;[]
7.730769230769232;0.11538461538461539;57;95;guitar;4;7;False;[]
7.846153846153847;0.11538461538461539;64;95;guitar;2;5;False;[]
7.961538461538462;0.11538461538461539;57;95;guitar;4;7;False;[]
8.076923076923077;0.11538461538461539;61;95;guitar;3;6;False;[]
8.192307692307693;0.11538461538461539;57;95;guitar;4;7;False;[]
8.307692307692308;0.11538461538461539;50;95;guitar;5;5;False;[]
8.423076923076923;0.11538461538461539;57;95;guitar;4;7;False;[]
8.538461538461538;0.11538461538461539;56;95;guitar;4;6;True;[]
8.653846153846155;0.11538461538461539;57;95;guitar;4;7;False;[]
8.76923076923077;0.11538461538461539;66;95;guitar;2;7;False;[]
8.884615384615385;0.11538461538461539;57;95;guitar;4;7;False;[]
9.0;0.11538461538461539;49;95;guitar;5;4;False;[]
9.115384615384615;0.11538461538461539;55;95;guitar;4;5;False;[]
9.230769230769232;0.11538461538461539;54;95;guitar;4;4;True;[]
9.346153846153847;0.11538461538461539;55;95;guitar;4;5;False;[]
9.461538461538462;0.11538461538461539;64;95;guitar;2;5;False;[]
9.576923076923077;0.11538461538461539;55;95;guitar;4;5;False;[]
9.692307692307693;0.11538461538461539;47;95;guitar;5;2;False;[]
9.807692307692308;0.11538461538461539;54;95;guitar;4;4;False;[]
9.923076923076923;0.11538461538461539;53;95;guitar;4;3;True;[]
10.038461538461538;0.11538461538461539;54;95;guitar;4;4;False;[]
10.153846153846155;0.11538461538461539;62;95;guitar;2;3;False;[]
10.26923076923077;0.11538461538461539;54;95;guitar;4;4;False;[]
10.384615384615385;0.11538461538461539;40;95;guitar;6;0;False;[]
10.5;0.11538461538461539;52;95;guitar;4;2;False;[]
10.615384615384615;0.11538461538461539;51;95;guitar;4;1;True;[]
10.730769230769232;0.11538461538461539;52;95;guitar;4;2;False;[]
10.846153846153847;0.11538461538461539;61;95;guitar;2;2;False;[]
10.961538461538462;0.11538461538461539;52;95;guitar;4;2;False;[]
11.076923076923077;0.11538461538461539;41;95;guitar;6;1;False;[]
11.192307692307693;0.11538461538461539;53;95;guitar;4;3;False;[]
11.307692307692308;0.11538461538461539;52;95;guitar;4;2;True;[]
11.423076923076923;0.11538461538461539;53;95;guitar;4;3;False;[]
11.538461538461538;0.11538461538461539;59;95;guitar;2;0;False;[]
11.653846153846155;0.11538461538461539;53;95;guitar;4;3;False;[]
11.76923076923077;0.11538461538461539;42;95;guitar;6;2;False;[]
11.884615384615385;0.11538461538461539;54;95;guitar;4;4;False;[]
12.0;0.11538461538461539;53;95;guitar;4;3;True;[]
12.115384615384617;0.11538461538461539;54;95;guitar;4;4;False;[]
12.230769230769232;0.11538461538461539;55;95;guitar;3;0;False;[]
12.346153846153847;0.11538461538461539;54;95;guitar;4;4;False;[]
12.461538461538462;0.11538461538461539;55;95;guitar;3;0;False;[]
12.576923076923077;0.11538461538461539;54;95;guitar;4;4;False;[]
12.692307692307693;0.11538461538461539;55;95;guitar;3;0;False;[]
12.807692307692308;0.11538461538461539;54;95;guitar;4;4;False;[]
12.923076923076923;0.11538461538461539;55;95;guitar;3;0;False;[]
13.038461538461538;0.11538461538461539;54;95;guitar;4;4;False;[]
13.153846153846155;0.11538461538461539;61;95;guitar;2;2;False;[]
13.26923076923077;0.11538461538461539;58;95;guitar;3;3;False;[]
13.384615384615385;0.11538461538461539;54;95;guitar;4;4;False;[]
13.5;0.11538461538461539;55;95;guitar;3;0;False;[]
13.615384615384617;0.11538461538461539;52;95;guitar;4;2;False;[]
13.730769230769232;0.11538461538461539;49;95;guitar;5;4;False;[]
13.846153846153847;0.11538461538461539;47;95;guitar;5;2;False;[]
13.961538461538462;0.11538461538461539;54;95;guitar;4;4;False;[]
14.076923076923078;0.11538461538461539;53;95;guitar;4;3;True;[]
14.192307692307693;0.11538461538461539;54;95;guitar;4;4;False;[]
14.307692307692308;0.11538461538461539;55;95;guitar;3;0;False;[]
14.423076923076923;0.11538461538461539;54;95;guitar;4;4;False;[]
14.538461538461538;0.11538461538461539;59;95;guitar;3;4;False;[]
14.653846153846155;0.11538461538461539;54;95;guitar;4;4;False;[]
14.76923076923077;0.11538461538461539;62;95;guitar;2;3;False;[]
14.884615384615385;0.11538461538461539;54;95;guitar;4;4;False;[]
15.0;0.11538461538461539;59;95;guitar;3;4;False;[]
15.115384615384617;0.11538461538461539;54;95;guitar;4;4;False;[]
15.230769230769232;0.11538461538461539;47;95;guitar;5;2;False;[]
15.346153846153847;0.11538461538461539;54;95;guitar;4;4;False;[]
15.461538461538462;0.11538461538461539;53;95;guitar;4;3;True;[]
15.576923076923078;0.11538461538461539;54;95;guitar;4;4;False;[]
15.692307692307692;0.11538461538461539;55;95;guitar;3;0;False;[]
15.807692307692308;0.11538461538461539;54;95;guitar;4;4;False;[]
15.923076923076925;0.11538461538461539;59;95;guitar;3;4;False;[]
16.03846153846154;0.11538461538461539;54;95;guitar;4;4;False;[]
16.153846153846157;0.11538461538461539;62;95;guitar;2;3;False;[]
16.26923076923077;0.11538461538461539;54;95;guitar;4;4;False;[]
16.384615384615387;0.11538461538461539;59;95;guitar;3;4;False;[]
16.500000000000004;0.11538461538461539;54;95;guitar;4;4;False;[]
16.615384615384617;0.11538461538461539;47;95;guitar;5;2;False;[]
16.730769230769234;0.11538461538461539;55;95;guitar;4;5;False;[]
16.84615384615385;0.11538461538461539;54;95;guitar;4;4;True;[]
16.961538461538463;0.11538461538461539;55;95;guitar;4;5;False;[]
17.07692307692308;0.11538461538461539;57;95;guitar;3;2;False;[]
17.192307692307693;0.11538461538461539;55;95;guitar;4;5;False;[]
17.30769230769231;0.11538461538461539;59;95;guitar;3;4;False;[]
17.423076923076927;0.11538461538461539;55;95;guitar;4;5;False;[]
17.53846153846154;0.11538461538461539;62;95;guitar;2;3;False;[]
17.653846153846157;0.11538461538461539;55;95;guitar;4;5;False;[]
17.769230769230774;0.11538461538461539;59;95;guitar;3;4;False;[]
17.884615384615387;0.11538461538461539;55;95;guitar;4;5;False;[]
18.000000000000004;0.11538461538461539;47;95;guitar;5;2;False;[]
18.115384615384617;0.11538461538461539;55;95;guitar;4;5;False;[]
18.230769230769234;0.11538461538461539;54;95;guitar;4;4;True;[]
18.34615384615385;0.11538461538461539;55;95;guitar;4;5;False;[]
18.461538461538463;0.11538461538461539;57;95;guitar;3;2;False;[]
18.57692307692308;0.11538461538461539;55;95;guitar;4;5;False;[]
18.692307692307693;0.11538461538461539;59;95;guitar;3;4;False;[]
18.80769230769231;0.11538461538461539;55;95;guitar;4;5;False;[]
18.923076923076927;0.11538461538461539;62;95;guitar;2;3;False;[]
19.03846153846154;0.11538461538461539;55;95;guitar;4;5;False;[]
19.153846153846157;0.11538461538461539;59;95;guitar;3;4;False;[]
19.269230769230774;0.11538461538461539;55;95;guitar;4;5;False;[]
19.384615384615387;0.11538461538461539;49;95;guitar;5;4;False;[]
19.500000000000004;0.11538461538461539;57;95;guitar;4;7;False;[]
19.615384615384617;0.11538461538461539;56;95;guitar;4;6;True;[]
19.730769230769234;0.11538461538461539;57;95;guitar;4;7;False;[]
19.84615384615385;0.11538461538461539;59;95;guitar;3;4;False;[]
19.961538461538463;0.11538461538461539;57;95;guitar;4;7;False;[]
20.07692307692308;0.11538461538461539;61;95;guitar;3;6;False;[]
20.192307692307693;0.11538461538461539;57;95;guitar;4;7;False;[]
20.30769230769231;0.11538461538461539;64;95;guitar;2;5;False;[]
20.423076923076927;0.11538461538461539;57;95;guitar;4;7;False;[]
20.53846153846154;0.11538461538461539;61;95;guitar;3;6;False;[]
20.653846153846157;0.11538461538461539;57;95;guitar;4;7;False;[]
20.769230769230774;0.11538461538461539;49;95;guitar;5;4;False;[]
20.884615384615387;0.11538461538461539;57;95;guitar;4;7;False;[]
21.000000000000004;0.11538461538461539;56;95;guitar;4;6;True;[]
21.115384615384617;0.11538461538461539;57;95;guitar;4;7;False;[]
21.230769230769234;0.11538461538461539;59;95;guitar;3;4;False;[]
21.34615384615385;0.11538461538461539;57;95;guitar;4;7;False;[]
21.461538461538463;0.11538461538461539;61;95;guitar;3;6;False;[]
21.57692307692308;0.11538461538461539;57;95;guitar;4;7;False;[]
21.692307692307693;0.11538461538461539;64;95;guitar;2;5;False;[]
21.80769230769231;0.11538461538461539;57;95;guitar;4;7;False;[]
21.923076923076927;0.11538461538461539;61;95;guitar;3;6;False;[]
22.03846153846154;0.11538461538461539;57;95;guitar;4;7;False;[]
22.153846153846157;0.11538461538461539;50;95;guitar;5;5;False;[]
22.269230769230774;0.11538461538461539;57;95;guitar;4;7;False;[]
22.384615384615387;0.11538461538461539;56;95;guitar;4;6;True;[]
22.500000000000004;0.11538461538461539;57;95;guitar;4;7;False;[]
22.615384615384617;0.11538461538461539;66;95;guitar;2;7;False;[]
22.730769230769234;0.11538461538461539;57;95;guitar;4;7;False;[]
22.84615384615385;0.11538461538461539;49;95;guitar;5;4;False;[]
22.961538461538463;0.11538461538461539;55;95;guitar;4;5;False;[]
23.07692307692308;0.11538461538461539;54;95;guitar;4;4;True;[]
23.192307692307697;0.11538461538461539;55;95;guitar;4;5;False;[]
